year,population,geo,source,variable,period_start,period_end,reference_period,reference_date,notes
2000,3810605,Puerto Rico,intercensal_2000_2010,POPESTIMATE,2000,2000,annual,July 1,"Census 2000-2010 intercensal resident population estimate for Puerto Rico, July 1"
2001,3818774,Puerto Rico,intercensal_2000_2010,POPESTIMATE,2001,2001,annual,July 1,"Census 2000-2010 intercensal resident population estimate for Puerto Rico, July 1"
2002,3823701,Puerto Rico,intercensal_2000_2010,POPESTIMATE,2002,2002,annual,July 1,"Census 2000-2010 intercensal resident population estimate for Puerto Rico, July 1"
2003,3826095,Puerto Rico,intercensal_2000_2010,POPESTIMATE,2003,2003,annual,July 1,"Census 2000-2010 intercensal resident population estimate for Puerto Rico, July 1"
2004,3826878,Puerto Rico,intercensal_2000_2010,POPESTIMATE,2004,2004,annual,July 1,"Census 2000-2010 intercensal resident population estimate for Puerto Rico, July 1"
2005,3821362,Puerto Rico,intercensal_2000_2010,POPESTIMATE,2005,2005,annual,July 1,"Census 2000-2010 intercensal resident population estimate for Puerto Rico, July 1"
2006,3805214,Puerto Rico,intercensal_2000_2010,POPESTIMATE,2006,2006,annual,July 1,"Census 2000-2010 intercensal resident population estimate for Puerto Rico, July 1"
2007,3782995,Puerto Rico,intercensal_2000_2010,POPESTIMATE,2007,2007,annual,July 1,"Census 2000-2010 intercensal resident population estimate for Puerto Rico, July 1"
2008,3760866,Puerto Rico,intercensal_2000_2010,POPESTIMATE,2008,2008,annual,July 1,"Census 2000-2010 intercensal resident population estimate for Puerto Rico, July 1"
2009,3740410,Puerto Rico,intercensal_2000_2010,POPESTIMATE,2009,2009,annual,July 1,"Census 2000-2010 intercensal resident population estimate for Puerto Rico, July 1"
2010,3724465,Puerto Rico,intercensal_2010_2020,POPESTIMATE,2010,2010,annual,July 1,"Census 2010-2020 intercensal resident population estimate for Puerto Rico, July 1"
2011,3693464,Puerto Rico,intercensal_2010_2020,POPESTIMATE,2011,2011,annual,July 1,"Census 2010-2020 intercensal resident population estimate for Puerto Rico, July 1"
2012,3661045,Puerto Rico,intercensal_2010_2020,POPESTIMATE,2012,2012,annual,July 1,"Census 2010-2020 intercensal resident population estimate for Puerto Rico, July 1"
2013,3631427,Puerto Rico,intercensal_2010_2020,POPESTIMATE,2013,2013,annual,July 1,"Census 2010-2020 intercensal resident population estimate for Puerto Rico, July 1"
2014,3585017,Puerto Rico,intercensal_2010_2020,POPESTIMATE,2014,2014,annual,July 1,"Census 2010-2020 intercensal resident population estimate for Puerto Rico, July 1"
2015,3535167,Puerto Rico,intercensal_2010_2020,POPESTIMATE,2015,2015,annual,July 1,"Census 2010-2020 intercensal resident population estimate for Puerto Rico, July 1"
2016,3480432,Puerto Rico,intercensal_2010_2020,POPESTIMATE,2016,2016,annual,July 1,"Census 2010-2020 intercensal resident population estimate for Puerto Rico, July 1"
2017,3410837,Puerto Rico,intercensal_2010_2020,POPESTIMATE,2017,2017,annual,July 1,"Census 2010-2020 intercensal resident population estimate for Puerto Rico, July 1"
2018,3290690,Puerto Rico,intercensal_2010_2020,POPESTIMATE,2018,2018,annual,July 1,"Census 2010-2020 intercensal resident population estimate for Puerto Rico, July 1"
2019,3302691,Puerto Rico,intercensal_2010_2020,POPESTIMATE,2019,2019,annual,July 1,"Census 2010-2020 intercensal resident population estimate for Puerto Rico, July 1"
2020,3281591,Puerto Rico,pep_postcensal_vintage_2025,POPESTIMATE,2020,2020,annual,July 1,"Census Population Estimates Program postcensal resident population estimate, Vintage 2025, July 1"
2021,3262731,Puerto Rico,pep_postcensal_vintage_2025,POPESTIMATE,2021,2021,annual,July 1,"Census Population Estimates Program postcensal resident population estimate, Vintage 2025, July 1"
2022,3220148,Puerto Rico,pep_postcensal_vintage_2025,POPESTIMATE,2022,2022,annual,July 1,"Census Population Estimates Program postcensal resident population estimate, Vintage 2025, July 1"
2023,3203794,Puerto Rico,pep_postcensal_vintage_2025,POPESTIMATE,2023,2023,annual,July 1,"Census Population Estimates Program postcensal resident population estimate, Vintage 2025, July 1"
2024,3202521,Puerto Rico,pep_postcensal_vintage_2025,POPESTIMATE,2024,2024,annual,July 1,"Census Population Estimates Program postcensal resident population estimate, Vintage 2025, July 1"
2025,3184835,Puerto Rico,pep_postcensal_vintage_2025,POPESTIMATE,2025,2025,annual,July 1,"Census Population Estimates Program postcensal resident population estimate, Vintage 2025, July 1"